Model,Accuracy,Precision,Recall,F1
Random Forest,0.7720901348474095,0.967894928858081,0.6201979272188888,0.7559840425531915
SVM,0.7648154719659332,0.9204913456169738,0.6423283721655108,0.7566550394712686
KNN,0.7693843151171044,0.9240168851366363,0.6481726798098651,0.7618960384703458
Isolation Forest,0.5480393896380412,0.8571042679632631,0.24725317540715344,0.3837919564560024
